raum,jahr,tau,n,n_edges,n_iso,mean_deg,moran_I,E_I,sd_I,z_score,p_analyt
nativ,2024,0.7,14412,98723,2214,13.700111018595615,0.5206718246799781,-8.198737394441256e-5,0.0057415230658213875,90.69959418153499,0
aligned,2016,0.55,14412,827683,649,114.86025534276992,0.35364346886449377,-7.266385699752942e-5,0.0035088220078914904,100.80765907360609,0
aligned,2017,0.55,14412,564557,524,78.34540660560644,0.37790725290387894,-7.200979333189313e-5,0.0034708746425679165,108.90029218040671,0
aligned,2018,0.55,14412,509114,438,70.65140160976964,0.40735640490371355,-7.156659271452087e-5,0.0033172142379323337,122.82232689028359,0
aligned,2019,0.55,14412,508248,289,70.53122398001665,0.42193059005969147,-7.08114997875655e-5,0.002943807000117451,143.3522651256153,0
aligned,2020,0.55,14412,545572,192,75.71079655842354,0.42827745853309435,-7.032843378577959e-5,0.0026670210157782787,160.60907823100956,0
aligned,2021,0.55,14412,579438,170,80.4104912572856,0.420756498690218,-7.021978793624044e-5,0.002473278904565453,170.1493178554774,0
aligned,2022,0.55,14412,623104,181,86.47016375242853,0.4346824117971068,-7.02740688685875e-5,0.002364218847370759,183.88851199179916,0
aligned,2023,0.55,14412,673409,183,93.4511518179295,0.40803009968418674,-7.028394714647174e-5,0.0022428996921628175,181.95213323954044,0
aligned,2024,0.55,14412,653446,273,90.68082153760754,0.41522264052326724,-7.073136228603763e-5,0.002200277634398422,188.74589524203324,0
aligned,2016,0.6,14412,490308,1959,68.04163197335554,0.3707012064469539,-8.030838419531e-5,0.005032986477561819,73.67027836934915,0
aligned,2017,0.6,14412,314764,1825,43.68082153760755,0.3964953443768898,-7.94533608771651e-5,0.004951657578774219,80.08930169923805,0
aligned,2018,0.6,14412,283124,1452,39.290036081043574,0.43967730317369025,-7.716644802839726e-5,0.004715394144627559,93.25932385159125,0
aligned,2019,0.6,14412,280719,974,38.956286427976686,0.4600406864213537,-7.442137381856069e-5,0.004191367004965015,109.77685973338258,0
aligned,2020,0.6,14412,301871,645,41.89161809603109,0.4786927168710516,-7.26427429899753e-5,0.0038166631864484774,125.44081995863708,0
aligned,2021,0.6,14412,318917,561,44.2571468220927,0.47418965690450404,-7.220216606498195e-5,0.0035870291235779077,132.21578156508335,0
aligned,2022,0.6,14412,346182,502,48.04079933388843,0.4905216109867422,-7.189589474441009e-5,0.0034020041048279043,144.2072060363678,0
aligned,2023,0.6,14412,375220,524,52.070496808215374,0.4655230984208574,-7.200979333189313e-5,0.003187596177442267,146.06464630277716,0
aligned,2024,0.6,14412,364715,573,50.612683874548985,0.4747621569667674,-7.226477814713109e-5,0.0031059345348814363,152.87972634717508,0
aligned,2016,0.65,14412,277806,3815,38.55203996669442,0.34757276379053564,-9.437523593808984e-5,0.0067297831020297575,51.66097239027131,0
aligned,2017,0.65,14412,160640,3564,22.292533999444906,0.38084817269193083,-9.219138932423711e-5,0.006685855752951558,56.9770539714507,0
aligned,2018,0.65,14412,144250,2966,20.0180405217874,0.42982167581593855,-8.737439930100481e-5,0.006273010372972564,68.53313236456843,0
aligned,2019,0.65,14412,145298,2225,20.163474882042742,0.4568606486341467,-8.206138191367142e-5,0.0056072203346153775,81.49184136660183,0
aligned,2020,0.65,14412,158879,1632,22.048154315847903,0.49931368691640865,-7.825338445887784e-5,0.005110265430526697,97.72328797594315,0
aligned,2021,0.65,14412,167829,1372,23.290174854288093,0.5036655910710574,-7.669299792928905e-5,0.00487498470319388,103.33207481429767,0
aligned,2022,0.65,14412,184880,1225,25.6563974465723,0.5182847122526494,-7.583801001061732e-5,0.004652161327965408,111.42359727437949,0
aligned,2023,0.65,14412,200853,1105,27.87302248126561,0.49987754033933013,-7.515406583496167e-5,0.00440144889635201,113.58820837827602,0
aligned,2024,0.65,14412,196870,1132,27.320288648348598,0.5171957406378528,-7.530687551773477e-5,0.004278135362101148,120.91039757548013,0
aligned,2016,0.7,14412,141140,5930,19.586455731334997,0.30752907720531913,-1.1791062374719962e-4,0.008870908652812266,34.68043690558528,7.769210630785729e-264
aligned,2017,0.7,14412,70349,5660,9.76255897862892,0.341767233385356,-1.1427265455376528e-4,0.00877287207151629,38.970305648241315,0
aligned,2018,0.7,14412,64271,4942,8.91909519844574,0.3916760195037958,-1.0560777273207308e-4,0.008219176483945583,47.666773920938446,0
aligned,2019,0.7,14412,67942,3879,9.428531779072994,0.4373662603556007,-9.494872768704899e-5,0.007291623381445342,59.99503624892026,0
aligned,2020,0.7,14412,77338,3065,10.732445184568416,0.4863316306347389,-8.813678829543451e-5,0.0066199522626787305,73.47783611149592,0
aligned,2021,0.7,14412,82969,2742,11.513877324451846,0.493432670265753,-8.56971462850287e-5,0.006409279886615393,77.00059540895705,0
aligned,2022,0.7,14412,92603,2495,12.850818762142659,0.5186940972577154,-8.392077878482712e-5,0.006172863601345722,84.04171087198549,0
aligned,2023,0.7,14412,99561,2256,13.816402997502081,0.5038701658916905,-8.227067050596462e-5,0.005905963695665255,85.32941659158483,0
aligned,2024,0.7,14412,98724,2214,13.700249791840132,0.5206725876252387,-8.198737394441256e-5,0.00574152265250913,90.6997335927266,0
