k,steps,jahr,module,Q,top1,top2,rosenbluth
15,8,2024,65,0.8031136993611864,0.14439356092145433,0.2631834582292534,0.04462776136595879
25,3,2016,94,0.6548443974356175,0.2040660560643908,0.28913405495420486,0.027323606139659045
25,3,2017,54,0.6892228159020949,0.2918401332223147,0.3735775742436858,0.056027243888785216
25,3,2018,46,0.7243968619082757,0.20101304468498474,0.3120316402997502,0.0625482826564358
25,3,2019,45,0.7295800884984205,0.24548986955315016,0.3320843741326672,0.06371578128315768
25,3,2020,62,0.7362961778521765,0.22377185678601166,0.33916180960310854,0.04550420247665116
25,3,2021,50,0.7544061660688998,0.20004163197335553,0.3291701359977796,0.05882833164614832
25,3,2022,60,0.7314599693092266,0.22238412434082708,0.30779905634193727,0.04401901015259435
25,3,2023,67,0.7454742346399377,0.19032750485706357,0.2647099639189564,0.03867435931839528
25,3,2024,49,0.7435457879056507,0.23494310296974744,0.3276436303080766,0.058002978226747694
25,4,2016,85,0.6524369978226296,0.1999722453510963,0.31869275603663616,0.0300153700687696
25,4,2017,43,0.7155316284095897,0.1696502914238135,0.33721898417985013,0.0666537170130699
25,4,2018,52,0.7294833440176817,0.1718706633361088,0.26672217596447406,0.05081088703990974
25,4,2019,42,0.7396552636787026,0.23320843741326672,0.3267416042187066,0.06533150799191288
25,4,2020,50,0.7518760402118657,0.17277268942547877,0.2741465445462115,0.050216377814479546
25,4,2021,62,0.746946491700389,0.17596447404940327,0.28365251179572576,0.0423302179953358
25,4,2022,54,0.7423646974289156,0.1985151262836525,0.28226477935054123,0.04694554290963341
25,4,2023,55,0.7609715746921772,0.15202608936996947,0.2726894254787677,0.047450975227509185
25,4,2024,72,0.739248015858354,0.1562586733277824,0.21759644740494033,0.032688129119470895
25,5,2016,70,0.661717242503202,0.1506383569247849,0.29163197335553703,0.037191874148395886
25,5,2017,29,0.7087406175277666,0.27407715792395226,0.3875242853177907,0.09867312985252434
25,5,2018,41,0.7164498276443165,0.25645295587010825,0.34082708853733,0.06516725901408069
25,5,2019,41,0.7513354157530028,0.17173189009159034,0.3307660283097419,0.06653678174716761
25,5,2020,50,0.7565148896413972,0.17714404662781016,0.2781015820149875,0.0511913388176122
25,5,2021,43,0.7642551191944366,0.1782542325839578,0.32334165972800444,0.0622677704232411
25,5,2022,46,0.7563747321699439,0.18866222592284207,0.2702608936996947,0.055099325595265404
